Title,Group Offers?,Description,main_title,CE Course URL,main_url,description
Penn Dental Medicine , Unknown , Philadelphia-based dental school offering a commitment to advancing quality and leadership in lifelong learning through their continuing education program.,Penn Dental Medicine,https://www.dental.upenn.edu/continuing-education/,www.dental.upenn.edu,"With a commitment to advancing quality and leadership in lifelong learning, Penn Dental Medicine is reimagining its continuing education program, ..."
NJDA , Unknown ," Professional organization that provides services to dental professionals in New Jersey such as dental clinics, special programs for teachers, and a provider list.",New Jersey Dental Association | American Dental Association,https://www.njda.org/continuing-education-events/event-details,www.njda.org,"Why choose an NJDA Dentist? Dental Clinics & Programs · For Teachers, Homeschoolers & Care Givers · Special Olympics Provider List · Mouth Healthy · Dental ..."
Ok.gov , Unknown , State government site for Oklahoma outlining filing and reporting regulations for dental healthcare professionals.,Oklahoma.gov Home,https://www.ok.gov/dentistry/Continuing_Education/index.html,www.ok.gov,"Failure to report your required CE will result in a $1,000 fine for dentists and a $500 fine for dental hygienists, and you will still be required to make-up ..."
PT Consultation | Collier & Assoc. , Unknown ," Providing practice transitions consultation, with interactive live course Q&A for private practice dentists, veterinarians, and other medical practitioners.","Practice Transitions Consultation | Dental Practice Transitions - Collier & Associates, Inc.",https://www.collieradvisors.com/dental-ce-courses/,www.collieradvisors.com,"When attending live, the courses are interactive, allowing for real-time Q&A with the presenter(s). Thousands of private practice dentists, veterinarians, and ..."
Home Courses , Unknown , Open to dental officers of the Uniformed Services and civilian dentists employed by federal agencies.,Home,https://www.med.navy.mil/Naval-Medical-Leader-and-Professional-Development-Command/Naval-Postgraduate-Dental-School/Continuing-Education/,www.med.navy.mil,Courses are open to dental officers of the Uniformed Services and civilian dentists employed by federal agencies. Non-Federal civilian dentists are no longer ...
ND Dental Board , Unknown ," North Dakota state organization that regulates dentistry, setting requirements for dental licensure renewal.",Welcome - ND Dental Board,https://www.nddentalboard.org/practitioners/CE/index.asp,www.nddentalboard.org,"However, CPR, or BLS or if you are required to have ACLS/PALS, must be maintained at all times. Renewal deadline for all dentists and dental hygienists is ..."
Plans for Individuals and Groups , Unknown ," A healthcare provider that provides independent, personalized strategies to help members manage their oral health.",Plans for individuals and groups | Delta Dental,https://www1.deltadentalins.com/dentists/fyi-online/2022/october-continuing-education-2022.html,www1.deltadentalins.com,"Oct 29, 2022, Nova Southeastern University | College of Dental Medicine, Using Risk Assessment for Treatment Planning In Dentistry (PDF) ; Nov 2022, Columbia ..."
Home Oct 31 , Unknown , Online resource for professionals to find convenient CE courses.,Home,https://www.colgateprofessional.com/hygienist-resources/tools-resources/dental-hygienist-continuing-education-goals,www.colgateprofessional.com,"Oct 31, 2016 — Find Convenient Courses. A good percentage of professionals seek to complete their dental hygienist CE credits at annual dental conferences held ..."
Emory SOM , Unknown ," School of Medicine at Emory University, providing educational experiences relevant to the needs of practicing dentists.",School of Medicine | Emory School of Medicine,https://med.emory.edu/education/cme/cde/index.html,med.emory.edu,CDE will provide educational experiences that are relevant to the needs of the practicing dentist. dental tools in a jacket pocket. Your Courses and ...
CDS.org , Unknown , Chicago Dental Society website with upcoming events and resources for dentists and dental hygienists.,CDS.org | Welcome to the Chicago Dental Society,https://www.cds.org/education/events,www.cds.org,Upcoming Events · New Dentist Night Out · Physical Therapy Tips · Leadership is for Everyone · Oral Cancer · Women In Dentistry – Starting A Practice from Scratch.
Cleveland Dental Institute , Unknown ," An institute providing patient services, including esthetic dentistry courses for practitioners of all levels of experience.",Cleveland Dental Institute | Patient Services | Orthodontist,https://cdiohio.org/continuing-dental-education-course-schedule/,cdiohio.org,"Cleveland Dental Institute is proud to present this didactic course, designed for practitioners in all levels of experience with Esthetic Dentistry. Dozens of ..."
IAGD , Unknown , Illinois Academy of General Dentistry organization offering representation and continued proficiency of general dentists.,Illinois Academy of General Dentistry,https://ilagd.org/events/,ilagd.org,"The purpose of the Academy is to serve the needs, to represent the interests, and to foster the continued proficiency of the general dentist through quality ..."
Home - 300 Hours CE , Unknown ," Provider of CE courses in implant dentistry with lecture, demo, hands-on and interactive sessions.",Home -,https://chicagoimplantinstitute.com/,chicagoimplantinstitute.com,"300 Hours CE · Distinguished leaders in various aspects of Implant Dentistry · Lecture, demonstration, hands-on sessions with cadavers and pig-jaws · Interactive ..."
Peak Performers , Unknown ," Dental staffing solutions and expertise in Dentists, Dental Hygienists/ Assistants, and Office/ Administrative.",Top Dental Staffing Firm | Peak Performers,https://peakperformersinc.com/education-training/,peakperformersinc.com,Contact us today for the best dental staffing solutions! OUR EXPERTISE. Dentists · Dental Hygienists/ Assistants · Office/ Administrative ...
UNLV , Unknown ," University of Nevada, Las Vegas The School of Dental Medicine believes lifelong learning enhances the quality of patient care as well as the personal and professional success of dental professionals.","UNLV | University of Nevada, Las Vegas",https://www.unlv.edu/dental/continuing-ed,www.unlv.edu,The School of Dental Medicine believes lifelong learning enhances the quality of patient care as well as the personal and professional success of dental ...
Delta Dental Foundation , Unknown , A charitable organization affiliated with Delta Dental that may offer programs that award continuing education certificates.,"Delta Dental Foundation | An Affiliate of Delta Dental MI, OH, IN & NC",https://www.deltadental.foundation/ce-courses-seminars,www.deltadental.foundation,"Dentists completing 18 or more of the courses within a three-year period will receive a certificate of completion from Penn Dental Medicine, an ADA CERP ..."
UMSOD , Unknown , University of Michigan School of Dentistry providing a Mini-Residency in Dental Sleep Medicine.,University of Michigan School of Dentistry | University of Michigan School of Dentistry,http://dent.umich.edu/education/continuing-dental-education,dent.umich.edu,Course Overview: The University of Michigan School of Dentistry is offering a Mini-Residency in dental sleep medicine for licensed dentists providing over 100 ...
Delta Dental of Indiana , Unknown , Provider of dental benefits offering a dental visit course for dentists and dental hygienists.,Dental Benefits for Members | Delta Dental of Indiana,https://www.deltadentalin.com/onlineeducation,www.deltadentalin.com,This course will review the need and importance of the age 1 dental visit. A technique will be introduced to help dentists complete the visit in an efficient ...
DASP San Diego , Unknown , School program in San Diego providing dental assistant certifications and dental hygienist programs.,Dental Assistant School and Programs San Diego,https://howardacademy.edu/why-is-continuing-education-important-in-dental-care/,howardacademy.edu,"Jan 22, 2023 — A trip to the dentist can be a nerve-wracking experience for many and continuing education can help dental assistants and hygienists learn what ..."
TDA , Unknown ," Texas Dental Association does not approve nor endorse individual courses or instructors, nor does it imply acceptance of credit hours by boards of dentistry.",Texas Dental Association | American Dental Association,https://www.tda.org/meetings-events/tda-continuing-education,www.tda.org,"ADA CERP does not approve nor endorse individual courses or instructors, nor does it imply acceptance of credit hours by boards of dentistry. TDA designates ..."
404 Error Page , Unknown , Website providing information about CE courses for dentists and dental hygienists.,404 Error Page,https://dental.ohio.gov/continuing-education,dental.ohio.gov,"Feb 7, 2022 — Therefore, you may claim up to ten (10) hours of volunteer CE for dentists and up to six (6) hours of volunteer CE for dental hygienists. "" ..."
Not Acceptable! , Unknown ," Provider of online and mail-order continuing education courses for dental professionals, approved by multiple state boards.",Not Acceptable!,https://www.dynamicdentaled.com/,www.dynamicdentaled.com,We are approved by the Florida Board of Dentistry (#50-557) and the Dental Board of California (#3964). We offer both ONLINE courses and MAIL ORDER courses: For ...
MSDA , True  ," Maryland State Dental Association offering CE courses for dentists, dental hygienists and other professionals.",MSDA | Maryland State Dental Association,https://msda.com/continuing-education/,msda.com,"This course is designed to educate dentists, dental hygienists, dental assistants and others about the problems of child abuse and neglect, domestic violence, ..."
Dentsply Sirona USA , True , Dental products and technologies USA offering CE courses for dentists and dental hygienists.,Dentsply Sirona USA: Dental products and technologies USA,https://www.dentsplysirona.com/en-us/academy/local-pages/dental-ce.html,www.dentsplysirona.com,Implant Dentistry · Dentist/General Provider ; Orthodontics · Endodontic and Orthodontic Specialists ; Endodontics · Dental Assistant ; Preventive · Dental ...
Dentaltown , True , An online platform providing more than 500 online continuing education courses on topics across all aspects of dentistry.,Dentaltown - Where The Dental Community Lives®,https://www.dentaltown.com/onlinece,www.dentaltown.com,Dentaltown.com gives you access to more than 500 online continuing education courses on topics across all aspects of dentistry. Our goal is to give you courses ...
Georgia Dental , True , Georgia Dental Continuing Education organization specializing in providing courses that meet ADA requirements for dentists and hygienists.,Georgia Dental | American Dental Association,https://www.gadental.org/education/required-ce-courses---opioid-leap-sedation,www.gadental.org,Dentists are required to have at least 40 hours of continuing education (for hygienists the requirement is 22) by the end of 2023 in order to renew your ...
Cosmedent , True , Cosmedent offers dental continuing education for cosmetic dentists who want to take their skills to the next level.,Cosmetic Dental Supply & Education Company | Cosmedent,https://www.cosmedent.com/continuing-education/,www.cosmedent.com,Cosmedent offers dental continuing education for cosmetic dentists who want to take their skills to the next level. Click here to learn more.
Course Karma , True , Online platform offering high-quality dental continuing education courses.,Find the Best Dental CE - Course Karma,https://www.coursekarma.com/,www.coursekarma.com,Discover top-rated dental CE courses with Course Karma - your one-stop platform for the best in dental continuing education. Join us today!
AAFEE , True ," AAFEE provides courses, training, and education in facial esthetics for dentists' continuing education and advanced dental education, as well as dental education videos.","#1 Facial Esthetics Training, Courses & Education - AAFE",https://www.facialesthetics.org/patient-info/facial-esthetics/cosmetic-dentistry/continuing-dental-education/,www.facialesthetics.org,We provide dentistry courses for dentist continuing education and other advanced dental education. Besides dental education we provide dental education videos ...
Creighton University , True ," Private, Jesuit university in Omaha, NE offering CE courses for dentists, dental hygienists, and dental assistants.","Creighton University | A private, Jesuit university in Omaha, NE",https://www.creighton.edu/continuing-professional/continuing-education/dentistry,www.creighton.edu,"Earn Dental Continuing Education Credits. We offer the gold standard in continuing education programs for dentists, dental hygienists and dental assistants."
The DALE Foundation , True ," A national dental non-profit organization dedicated to advancing the careers of dental professionals through training, certifications, and continuing education courses.",The Official DANB Affiliate | The DALE Foundation,https://www.dalefoundation.org/courses/dental-CE,www.dalefoundation.org,Understanding CDC's Summary of Infection Prevention Practices in Dental Settings. Implementing infection prevention practices is paramount in dentistry. Expand ...
DCDS , True , District of Columbia Dental Society offers CE courses through an online evaluation system.,District of Columbia Dental Society,https://www.dcdental.org/meetings/ce,www.dcdental.org,"The D.C. Dental Society uses an online evaluation system for all continuing education events. In order to get CE credit, all attendees must complete the ..."
CME/CE Conferences 2023 , True ," One-stop Continuing Education hub for Dentists, Dental Hygienists, and Dental Assistants CE Credits, offering exclusive CE Courses and Conferences.",CME/CE Conferences 2023 | Find Online CME Courses & Onsite Medical Conferences,https://www.emedevents.com/profession/Dentist,www.emedevents.com,"One-stop Continuing Education Hub for Dentists, Dental Hygienists, Dental Assistants CE Credits. Browse & Register for exclusive CE Courses and Conferences."
Elite Healthcare , True , Provider of dental continuing education courses to maintain professional license.,Elite Continuing Education for Nurses & Healthcare Professionals,https://www.elitelearning.com/dental/,www.elitelearning.com,Elite Healthcare provides dental continuing education courses to maintain your professional license.
DenMat , True ," Dental products, Lab Services, and Education provider offering CE courses for dentists and dental hygienists.","DenMat  - Dental Products, Lab Services, and Education",https://www.denmat.com/education,www.denmat.com,"Dental students of all levels, including dental professionals involved in general dentistry, dental hygiene and public health are invited to partner with DenMat ..."
CDM , True ," College of Dental Medicine The Continuing Education Program at the College of Dental Medicine offers a wide variety of practical, evidence-based continuing education courses for dentists, dental hygienists, and other dental professionals.",College of Dental Medicine,https://www.dental.columbia.edu/education/continuing-education,www.dental.columbia.edu,"The Continuing Education Program at the College of Dental Medicine offers a wide ... Practical, evidence-based continuing education courses for dentists, ..."
Dental Online Training , True , An online platform offering both online and live CE courses as well as mentorship for dental professionals.,Dental Online Training | Hands-on Courses and Mentorship,https://www.dothandson.com/live-dental-ce-courses,www.dothandson.com,5 reasons you should add live dental CE courses to your dental educational portfolio. ... Dentists have many alternatives to continue to learn and Dental Online ...
DOCS Education , True ," DOCS Education is a trusted source of CE for dentists, offering the best training options in sedation dentistry & advanced dental courses.",#1 In Sedation and Advanced Dental Courses | DOCS Education,https://www.docseducation.com/,www.docseducation.com,DOCS Education is a trusted source of continuing education for dentists & offers the best training options in sedation dentistry & advanced dental courses.
Pitt , True ," School of Dental Medicine at The University of Pittsburgh, providing CE courses for dentists and dental hygienists.",Home | School of Dental Medicine,https://www.dental.pitt.edu/education/continuing-education,www.dental.pitt.edu,The University of Pittsburgh is an American Dental Association Continuing Education Recognition Program (ADA CERP) recognized provider. ADA CERP is a service of ...
UMD , True ," University of Maryland School of Dentistry, offering the continuing education course "" ...","University of Maryland School of Dentistry - University of Maryland, Baltimore",https://www.dental.umaryland.edu/ce/course-descriptions/,www.dental.umaryland.edu,"In partnership with the Maryland State Board of Dental Examiners, the University of Maryland School of Dentistry is offering the continuing education course "" ..."
Dentalcare.com , True , Conducting professional dental educational courses to help dentists and hygienists meet CCP requirements.,Dental Care Information for Professionals | Dentalcare.com,https://www.dentalcare.com/en-us/ce-courses,www.dentalcare.com,"dentalcare.com covers all of your professional dental education needs. Developed by leading experts, our free dental education courses are designed to help ..."
Dental CE Academy , True ," Online platform offering free dental continuing education courses and CE certificates for dentists, dental hygienists, and dental assistants.",Free Dental CE Webinars  | Dental CE Academy,https://www.dentalceacademy.com/,www.dentalceacademy.com,"Where can I take free dental continuing education courses and get my CE certificate ... Dental CE Courses for Dentists, Dental Hygienists, Dental Assistants ..."
Dentistry Today , True , Online dental continuing education program offering accurate and science-based courses of clinical relevance.,Home | Dentistry Today CE,https://www.dentalcetoday.com/,www.dentalcetoday.com,"Search all courses. Dentistry Today's Continuing Education (CE) Program aims to provide accurate, science-based information of clinical relevance in a ..."
Hackensack Meridian , True , Healthcare provider offering Continuing Dental Education (CDE) courses for dentists and dental hygienists at Jersey Shore University Medical Center.,Hackensack Meridian Health,https://www.hackensackmeridianhealth.org/en/healthcare-professionals/jsumc/continuing-dental-education,www.hackensackmeridianhealth.org,Welcome to the Jersey Shore University Medical Center Department of Dentistry Continuing Dental Education Program ... Here you can find out information on all of ...
DentalCE , True ," Online Dental Continuing Education Courses providing mandatory courses for licensed dentists, dental hygienists, and dental assistants.",Online Dental Continuing Education Courses | Dental Didactics,https://www.dentaldidacticsce.com/,www.dentaldidacticsce.com,"Mandatory courses are provided for licensed dentists, dental hygienists, and dental assistants. In short, we are a dental ce website that makes online dental ..."
Dental Learning , True , Provider of free CE and online learning for dentists and aspiring dental professionals.,Dental Learning | Continuing Education for the Dental Professional,https://www.dentallearning.net/,www.dentallearning.net,Free CE and online learning created by dental professionals for dentists and aspiring dental professionals.
DLPI , True , Dallas Live Patient Implant Training offers CE courses to dentists and hygienists in Texas.,Dallas Live Patient Implant Training | Live Patient Implant Training in Dallas | Houston CE Training for dentists | San Antonio Live Hands On Implant Training,https://www.dentalcetraining.com/,www.dentalcetraining.com,"We provide ""real-world"" continuing education in the fields of live patient implant training, cosmetic dentistry, implant prosthetics, dental practice management ..."
AACD , True , American Academy of Cosmetic Dentistry provides dental continuing education courses related to cosmetic dentistry and professional development.,American Academy of Cosmetic Dentistry | Dental CE Courses,https://aacd.com/,aacd.com,- What are some must-have dental tools for 2023? - How do I grow my profit margin? - Should my practice focus more on cosmetic dentistry? - Where is the ...
Resources For Health Professionals , True , Provider of free dental CE modules for continuing education of dentists and dental hygienists.,Resources For Health Professionals | Haleon HealthPartner,https://www.haleonhealthpartner.com/en-us/learning-lab/continuing-education/,www.haleonhealthpartner.com,"Free Dental CE Modules. Check out the following webinar and e-book dental continuing education content, proudly sponsored by the Haleon Grants Program."
The Pathway , True ," Tempe, AZ-based company offering dental CE courses for dentists from across the nation.",Continuing Education (CE) Courses for Dentists | The Pathway,https://www.thepathway.com/,www.thepathway.com,"Based in Tempe, AZ, The Pathway focuses on providing dentists from throughout the nation with the dental CE courses they need to stay on the cutting edge of ..."
Perio Care/PerioImplant Chgo IL , True , Periodontist office in Chicago offering various CE courses throughout the year to dentists and dental hygienists to advance their knowledge.,Periodontist Chicago IL - Periodontal Care | Perio Implant Chicago,https://www.perioimplantchicago.com/continuing-education/,www.perioimplantchicago.com,"We sponsor a variety of continuing education courses throughout the year so we ... April 12, 2019, “Digital Workflow For Implant Dentistry: Restorations, ..."
Rondeau Seminars , True ," Offers dental continuing education seminars to dentists, from one day intro courses to full weekend seminars.",Dental Continuing Education | Rondeau Seminars,https://www.rondeauseminars.com/seminars/,www.rondeauseminars.com,"Rondeau Seminars offers dental continuing education seminars to dentists, from one day intro courses to full weekend seminars. Register today."
Scranton Dental , True , Continuing Education provider offering courses on analgesia and serious adverse drug interactions.,Scranton Dental,https://www.scrantondental.org/product-category/ce-courses/,www.scrantondental.org,Course 2: Evidence Based Analgesia for Dental Professionals; and Three Serious Adverse Drug Interactions That Every Dentist Should Know About.
SD BOD , True ," South Dakota Board of Dentistry offers CE courses for dentists, hygienists, and other dental professionals.",Home - South Dakota Board of Dentistry,https://www.sdboardofdentistry.org/continuingEducation/overview.asp,www.sdboardofdentistry.org,"Jun 8, 2023 — Dentists must earn 100 hours of continuing education in every 5-year CE ... A dentist must complete a CPR course that is intended for a ..."
SacDDS , True ," A dental society in Sacramento, California, providing monthly events and programs for area dentists to stay current with the latest in dentistry, including the offering of CE courses.",Sacramento District Dental Society | Sacramento Dentists | Sacramento Dental Events,https://www.sdds.org/continuing-education/courses/,www.sdds.org,"May 24, 2023 — The Sacramento District Dental Society offers monthly programs for Sacramento area dentists to stay up to date on the latest in dentistry ..."
MOD Institute , True ," Transformative Dental CE in Charleston, SC, offering CE courses for dentists and dental hygienists in CAD/CAM dentistry, 3D imaging, 3D printing and milling, implantology and other topics in digital dentistry.","The MOD Institute | Transformative Dental CE in Charleston, SC",https://www.themodinstitute.com/,www.themodinstitute.com,"Explore dental CE courses in CAD/CAM dentistry, 3D imaging, 3 Dprinting and milling, implantology and other topics in digital dentistry."
Nash Inst. , True ," The Nash Institute for Dental Learning with Dr. Ross Nash and Debra Engelhardt-Nash offers hands-on, unique programs for dentists and dental teams.",Continuing Education for Dentists | Dental CE Courses | The Nash Institute,https://www.thenashinstitute.com/,www.thenashinstitute.com,"The Nash Institute for Dental Learning with Dr. Ross Nash and Debra Engelhardt-Nash offers hands-on, unique programs for dentists and dental teams."
UNMC , True , University of Nebraska Medical Center offering CE courses for dentists and dental hygienists.,Home | University of Nebraska Medical Center,https://www.unmc.edu/dentistry/continuinged/courses/index.html,www.unmc.edu,Continuing Education Course Listing. ... UNMC › College of Dentistry › Continuing Education › Continuing Education Courses ... Current Course Listings ...
Hands-On CE LIVE , True ," Provider of online continuing education courses for dentists and dental hygienists, delivered live and interactive.",Hands-On Online Dental CE,https://www.handsonlinelive.com/,www.handsonlinelive.com,"LIVE, Interactive Dental Education Delivered OnLine · Learn online LIVE with the world's best instructors without leaving your office! · Learn on your own ..."
URMC , True ," University of Rochester Medical Center in Rochester, NY, offering CE courses for dentists and dental hygienists.","Welcome to URMC - Rochester, NY - University of Rochester Medical Center",https://www.urmc.rochester.edu/dentistry/education/continuing-education.aspx,www.urmc.rochester.edu,... One Voice AADMD Dental Pre-Conference · Oral Medicine Conference · Teledentistry Conference · Past Events ... Continuing Education. Upcoming Events.
Philips , True , Healthcare and technology company offering CE courses for dentists and dental hygienists.,Philips - United States | Philips,https://www.usa.philips.com/c-m-pe/dental-professionals/resources_and_education/professional-education,www.usa.philips.com,Philips Oral Healthcare continuing education courses ... Philips Oral Healthcare offers online continuing dental education courses on a variety of topics ranging ...
UTHSC , True ," Offers ADA CERP Recognized Provider, providing CE courses for dental professionals.",The University of Tennessee Health Science Center (UTHSC),https://www.uthsc.edu/dentistry/ce/,www.uthsc.edu,"Apr 27, 2023 — The University of Tennessee Health Science Center College of Dentistry- Office of Continuing Dental Education is an ADA CERP Recognized Provider ..."
VSDS , True ," Vermont State Dental Society, offering continuing education programs for all dental professionals in the state of Vermont.",VSDS | Vermont State Dental Society,https://www.vsds.org/meetings-events/continuing-education,www.vsds.org,"The Vermont State Dental Society is Vermont's leading source for continuing education programs. We provide quality opportunities for all dental professionals, ..."
WAHEC , True , Wake Area Health Education Center offering Dentistry CE courses for dentists and dental hygienists.,Wake Area Health Education Center,https://www.wakeahec.org/dentistry.htm,www.wakeahec.org,Dentistry Continuing Education. ... Sponsorship of continuing education courses by the Wake AHEC office does not imply endorsement of a particular ...
WSDA , True , Washington State Dental Association offers continuing dental education courses for dentists and dental hygienists with generous discounts for member dentists.,Washington State Dental Association | The Voice of Dentistry in WA,https://www.wsda.org/continuing-education,www.wsda.org,"WSDA​ offers a variety of continuing dental education opportunities for ... Better yet, member dentists receive generous discounts on ​CE courses."
XCEL SEMINARS , True ," Providing CE courses for dentists and dental hygienists to stay on top of changes, enhancements, and new trends within dentistry.",Continuing Dental Education | XCEL SEMINARS,https://www.xcelseminars.com/,www.xcelseminars.com,"Dentists who want to stay on top of their game need to be on the cutting-edge of the many changes, enhancements, and new trends within dentistry. We provide a ..."
Pacific U , True , University offering a 14-hour continuing education course in anxiety and pain management for dentists and hygienists.,Pacific University,https://www.pacificu.edu/academics/colleges/college-health-professions/school-dental-hygiene-studies/continuing-education,www.pacificu.edu,Nitrous Oxide-Oxygen Sedation for Dentists and Dental Hygienists ... This 14-hour continuing education course provides a study of anxiety and pain management ...
